
Results_Folder,./results/ori_model/black_background/test_results_epoch200
FID,396.5948181152344
Inception Score Mean,1.0372968912124634
Inception Score Std,0.006964380387216806
KID Mean,0.40013396739959717
KID Std,0.01568857580423355
LPIPS,0.16111771631985902
SSIM,0.2138550585365601

Results_Folder,./results/ori_model/black_background/test_results_epoch500
FID,387.7312927246094
Inception Score Mean,1.027531385421753
Inception Score Std,0.0061321379616856575
KID Mean,0.40161168575286865
KID Std,0.013292428106069565
LPIPS,0.18356077000498772
SSIM,0.15700396166519454

Results_Folder,./results/ori_model/black_background/test_results_epoch1000
FID,323.9488220214844
Inception Score Mean,1.0288164615631104
Inception Score Std,0.004441728815436363
KID Mean,0.29521191120147705
KID Std,0.013287913985550404
LPIPS,0.12892372864298524
SSIM,0.29274879889040417

Results_Folder,./results/ori_model/black_background/test_results_epoch1500
FID,317.88739013671875
Inception Score Mean,1.0254528522491455
Inception Score Std,0.0064888992346823215
KID Mean,0.2884954810142517
KID Std,0.012305444106459618
LPIPS,0.12963589746505022
SSIM,0.2858325924542674

Results_Folder,./results/ori_model/white_background/test_results_epoch200
FID,298.28033447265625
Inception Score Mean,1.0316569805145264
Inception Score Std,0.00695872912183404
KID Mean,0.24760551750659943
KID Std,0.01189516019076109
LPIPS,0.12377547528594732
SSIM,0.3504228464778074

Results_Folder,./results/ori_model/white_background/test_results_epoch500
FID,304.27191162109375
Inception Score Mean,1.0299464464187622
Inception Score Std,0.007192567456513643
KID Mean,0.25163283944129944
KID Std,0.010477977804839611
LPIPS,0.1214211619924754
SSIM,0.33639199145103943

Results_Folder,./results/ori_model/white_background/test_results_epoch1000
FID,305.4703063964844
Inception Score Mean,1.0272959470748901
Inception Score Std,0.005274336319416761
KID Mean,0.26676076650619507
KID Std,0.011390156112611294
LPIPS,0.12712554265744985
SSIM,0.31496569680834297

Results_Folder,./results/ori_model/white_background/test_results_epoch1500
FID,298.8354187011719
Inception Score Mean,1.026355504989624
Inception Score Std,0.005705957766622305
KID Mean,0.2581612169742584
KID Std,0.011444366537034512
LPIPS,0.12909715683199466
SSIM,0.30588168030912655

Results_Folder,./results/parameter/batch_size8/test_results
FID,326.1180114746094
Inception Score Mean,1.0235540866851807
Inception Score Std,0.006067987065762281
KID Mean,0.2857527434825897
KID Std,0.01025424338877201
LPIPS,0.15350834062943855
SSIM,0.23118127306001235

Results_Folder,./results/parameter/batch_size16/test_results
FID,425.7845764160156
Inception Score Mean,1.0478613376617432
Inception Score Std,0.006082977168262005
KID Mean,0.44272980093955994
KID Std,0.01767881214618683
LPIPS,0.14183061104267836
SSIM,0.3017522947474572

Results_Folder,./results/parameter/lambda5/test_results
FID,351.76318359375
Inception Score Mean,1.0313788652420044
Inception Score Std,0.00738670164719224
KID Mean,0.3166028559207916
KID Std,0.008971748873591423
LPIPS,0.18107263874262572
SSIM,0.19239191109654144

Results_Folder,./results/parameter/lambda20/test_results
FID,424.12042236328125
Inception Score Mean,1.039588212966919
Inception Score Std,0.008767218329012394
KID Mean,0.43950867652893066
KID Std,0.015101749449968338
LPIPS,0.1681512150913477
SSIM,0.26238213471686944

Results_Folder,./results/parameter/lr0.0001/test_results
FID,383.2303161621094
Inception Score Mean,1.03402578830719
Inception Score Std,0.007718988694250584
KID Mean,0.37373650074005127
KID Std,0.010583865456283092
LPIPS,0.14487694799900055
SSIM,0.2565601679923281

Results_Folder,./results/parameter/RMSprop/test_results_epoch200
FID,301.88079833984375
Inception Score Mean,1.0328750610351562
Inception Score Std,0.008935850113630295
KID Mean,0.24639055132865906
KID Std,0.010323163121938705
LPIPS,0.12559298174455763
SSIM,0.34212690591604467

Results_Folder,./results/parameter/RMSprop/test_results_epoch500
FID,304.8729553222656
Inception Score Mean,1.03013014793396
Inception Score Std,0.007827416062355042
KID Mean,0.2648155987262726
KID Std,0.011030949652194977
LPIPS,0.12615489698946475
SSIM,0.3194405073137962

Results_Folder,./results/parameter/RMSprop/test_results_epoch1000
FID,386.0841064453125
Inception Score Mean,1.0111732482910156
Inception Score Std,0.00432242639362812
KID Mean,0.45317742228507996
KID Std,0.00858856737613678
LPIPS,0.47318734005093577
SSIM,0.11399362336531982

Results_Folder,./results/ori_model/shoes/test_results_epoch200
FID,328.3304748535156
Inception Score Mean,1.0438404083251953
Inception Score Std,0.005518581718206406
KID Mean,0.2984723150730133
KID Std,0.013736276887357235
LPIPS,0.2820694100111723
SSIM,0.38379693766700296

Results_Folder,./results/ori_model/shoes/test_results_epoch500
FID,268.8661193847656
Inception Score Mean,1.0290104150772095
Inception Score Std,0.004412785172462463
KID Mean,0.20577794313430786
KID Std,0.007274650037288666
LPIPS,0.13174007153138517
SSIM,0.7104296650418365

Results_Folder,./results/ori_model/shoes/test_results_epoch1000
FID,288.15216064453125
Inception Score Mean,1.0359368324279785
Inception Score Std,0.008896819315850735
KID Mean,0.2313561886548996
KID Std,0.008324536494910717
LPIPS,0.1383076005615294
SSIM,0.7072984750444642
