Epoch,D Loss,G Loss
1,0.9126634424924851,3.485299758911133
2,0.37695753425359724,3.414419341087341
3,0.10997847735881805,2.790045771598816
4,0.04565156631171703,2.5938500118255616
5,0.03481802862137556,2.5890904521942137
6,0.021268768571317195,2.620169076919556
7,0.014892287850379944,2.492737126350403
8,0.009488017987459898,2.435179657936096
9,0.0074329474288970234,2.3887253618240356
10,1.0569026306364686,4.5497288274765015
11,0.4029675497114658,3.8652394247055053
12,0.054939971938729286,3.147380018234253
13,0.031538815572857856,2.846871256828308
14,0.284634348526597,3.8061239910125733
15,0.028677859231829642,2.7459809732437135
16,0.019713680930435656,2.6193209362030028
17,0.015254949238151311,2.515543441772461
18,0.021896310690790413,2.388826789855957
19,0.016308770142495634,2.5298456382751464
20,0.009448631685227155,2.469248332977295
21,0.00668553777039051,2.3953448057174684
22,0.006295744637027383,2.3259659957885743
23,0.004516503689810634,2.2372246980667114
24,0.0038296103337779643,2.160039534568787
25,0.003318835264071822,2.1016287207603455
26,0.003043296472169459,2.0598720574378966
27,0.0030475066043436526,1.9901015949249268
28,0.0026523964572697876,1.9380392980575563
29,0.0024362011812627316,1.8693648195266723
30,0.002325608329847455,1.8071846318244935
31,0.001966639296151698,1.7188062405586242
32,0.0018098377087153493,1.7005595302581786
33,0.001761175172869116,1.6604064512252807
34,0.001787926689721644,1.6246628260612488
35,0.0017848272318951785,1.5748684000968933
36,0.001559498447459191,1.5081612825393678
37,0.0015131945465691387,1.474200084209442
38,0.0014948300365358591,1.4613478469848633
39,0.0014932979573495685,1.4718967437744142
40,0.001737725343555212,1.501320209503174
41,0.0027045102603733538,1.5970775294303894
42,0.0018540752260014415,1.6548597884178162
43,0.0015831205411814154,1.6733964967727661
44,0.0014423472341150046,1.6763365912437438
45,0.0014971218374557793,1.6951443982124328
46,2.968924964973703,5.03107191324234
47,0.16284342762082815,3.4609903621673586
48,0.03915981717407704,2.604185395240784
49,0.020222932994365693,2.0115988636016846
50,0.01580819711089134,1.9074061274528504
51,0.007833887385204434,1.7138114953041077
52,0.0066787094809114935,1.5498947954177857
53,0.004805143666453659,1.4600225591659546
54,0.003911767094396054,1.4238017177581788
55,0.0032514525949954988,1.3200949835777283
56,0.0025530231813900173,1.2702700901031494
57,0.0019654177292250095,1.213324990272522
58,0.0017660727608017623,1.1954348850250245
59,0.0015118286397773773,1.1561423802375794
60,0.0014729636372067035,1.1500117945671082
61,0.0012378830392844975,1.093529713153839
62,0.0011394352978095412,1.0904567420482636
63,0.001002078327583149,1.0736884903907775
64,0.0009357009315863251,1.0660763716697692
65,0.0009837839286774396,1.0441204798221588
66,0.0008961672196164727,1.0398112332820892
67,0.0007796725060325116,1.034238166809082
68,0.0007177433534525335,1.031672452688217
69,0.0006029302475508302,1.0132153272628783
70,0.0005875837412895635,1.0203160965442657
71,0.0005427455209428445,0.9960670959949494
72,0.0005242988449754194,0.962322154045105
73,0.0004931718268198893,0.9624172973632813
74,0.00046116458252072335,0.9660343313217163
75,0.00045379544317256657,0.9452689695358276
76,0.00041218840109650043,0.9148972833156586
77,0.0004387349332682788,0.9354524672031402
78,0.00040317599545232954,0.9143114793300628
79,0.00039825658721383663,0.9011140596866608
80,0.0003745087137212977,0.9049071645736695
81,0.00033782196056563406,0.8689152574539185
82,0.00032724044169299307,0.8582320070266723
83,0.0003889481580699794,0.8713999474048615
84,0.00030552789539797234,0.8676094043254853
85,0.0003107728392933495,0.8506056201457978
86,0.0002995086446753703,0.869480162858963
87,0.00028926603292347866,0.8803513288497925
88,0.0002536035198136233,0.8699392664432526
89,0.0002583861135644838,0.8551691079139709
90,0.0002824666246306151,0.8482688450813294
91,0.00024329240608494729,0.8320776498317719
92,0.0002501872912398539,0.8315583992004395
93,0.0002213963374379091,0.8134363806247711
94,0.00021517185465199873,0.8241812980175018
95,0.00021482496318640188,0.8178833103179932
96,0.00020695212471764536,0.8040113914012909
97,0.00019611715368228033,0.7999130451679229
98,0.0002944681138615124,0.8398873198032379
99,0.0002659730994491838,0.8554725706577301
100,0.0002283216154319234,0.8502255213260651
101,0.0001929278124589473,0.8341874217987061
102,0.00019034075608942658,0.8251294279098511
103,0.00016686987975845114,0.8216278541088105
104,0.0001723763716290705,0.8180511832237244
105,0.00017115383059717714,0.8145094358921051
106,0.00016086837436887435,0.8049679899215698
107,0.0001605208165710792,0.8068949973583222
108,0.0001560746786708478,0.7928138697147369
109,0.0001455119188176468,0.7893166637420654
110,0.00014090822529396973,0.7882843554019928
111,0.00013343866827199237,0.7846388292312622
112,0.00013323377890628763,0.776233936548233
113,0.0001970080078172032,0.7825845527648926
114,0.0001620003196876496,0.8085351800918579
115,0.00013974961300846188,0.7795635759830475
116,0.00012527496757684276,0.7667956256866455
117,0.00011917073366930708,0.7581419134140015
118,0.00010969126902637072,0.7468804395198823
119,0.0001103748164314311,0.7514200723171234
120,0.00010626893490552902,0.7407641434669494
121,0.00010325540104531683,0.7367472171783447
122,9.995264757890254e-05,0.7425082719326019
123,9.311228437582031e-05,0.7330306231975555
124,8.876384992618114e-05,0.7222492110729217
125,8.198090072255581e-05,0.7279441571235656
126,8.505550460540689e-05,0.717046068906784
